,activity,name,location,type,unit,code
4765,7369,Landfill of waste: Food,WL,process,ton,WL-Landfill of waste: Food
4766,5893,Landfill of waste: Food,ZA,process,ton,ZA-Landfill of waste: Food
4767,6307,Aluminium production,SE,process,ton,SE-Aluminium production
4768,3171,Manufacture of coke oven products,IE,process,ton,IE-Manufacture of coke oven products
4769,6208,Incineration of waste: Paper,ES,process,ton,ES-Incineration of waste: Paper
4770,6987,Production of electricity by wind,US,process,TJ,US-Production of electricity by wind
4771,4549,Other land transport,NL,process,Meuro,NL-Other land transport
4772,7274,"Plastics, basic",WL,process,ton,"WL-Plastics, basic"
4773,1006,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",CN,process,ton,"CN-Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
4774,3781,Pigs farming,LT,process,ton,LT-Pigs farming
4775,4519,Manufacture of other transport equipment,NL,process,Meuro,NL-Manufacture of other transport equipment (35)
4776,7075,Mining of uranium and thorium ores,WA,process,ton,WA-Mining of uranium and thorium ores (12)
4777,962,Incineration of waste: Metals and Inert materials,CA,process,ton,CA-Incineration of waste: Metals and Inert materials
4778,3219,Production of electricity by solar thermal,IE,process,TJ,IE-Production of electricity by solar thermal
4779,848,Mining of precious metal ores and concentrates,CA,process,ton,CA-Mining of precious metal ores and concentrates
4780,5219,Other business activities,RO,process,Meuro,RO-Other business activities (74)
4781,383,Manufacture of coke oven products,BE,process,ton,BE-Manufacture of coke oven products
4782,6069,Cultivation of wheat,ES,process,ton,ES-Cultivation of wheat
4783,2489,"Mining of lead, zinc and tin ores and concentrates",HU,process,ton,"HU-Mining of lead, zinc and tin ores and concentrates"
4784,5595,Mining of coal and lignite; extraction of peat,SI,process,ton,SI-Mining of coal and lignite; extraction of peat (10)
4785,1634,Landfill of waste: Wood,DK,process,ton,DK-Landfill of waste: Wood
4786,3464,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",JP,process,ton,"JP-Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
4787,1003,Mining of coal and lignite; extraction of peat,CN,process,ton,CN-Mining of coal and lignite; extraction of peat (10)
4788,6937,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",US,process,ton,"US-Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
4789,4941,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",PT,process,ton,"PT-Extraction of natural gas and services related to natural gas extraction, excluding surveying"
4790,992,Cattle farming,CN,process,ton,CN-Cattle farming
4791,4294,Mining of other non-ferrous metal ores and concentrates,MX,process,ton,MX-Mining of other non-ferrous metal ores and concentrates
4792,1371,Re-processing of secondary plastic into new plastic,CZ,process,ton,CZ-Re-processing of secondary plastic into new plastic
4793,3479,Processing of meat pigs,JP,process,ton,JP-Processing of meat pigs
4794,3083,Real estate activities,ID,process,Meuro,ID-Real estate activities (70)
4795,6780,Petroleum Refinery,GB,process,ton,GB-Petroleum Refinery
4796,225,P- and other fertiliser,AT,process,ton,AT-P- and other fertiliser
4797,537,Manufacture of tobacco products,BR,process,ton,BR-Manufacture of tobacco products (16)
4798,3661,Paper,LV,process,ton,LV-Paper
4799,3107,Landfill of waste: Plastic,ID,process,ton,ID-Landfill of waste: Plastic
4800,5970,Manufacture of ceramic goods,KR,process,ton,KR-Manufacture of ceramic goods
4801,6614,"Publishing, printing and reproduction of recorded media",TR,process,ton,"TR-Publishing, printing and reproduction of recorded media (22)"
4802,7724,"Manure treatment (biogas), storage and land application",WM,process,ton,"WM-Manure treatment (biogas), storage and land application"
4803,660,Cultivation of oil seeds,BG,process,ton,BG-Cultivation of oil seeds
4804,5821,Other non-ferrous metal production,ZA,process,ton,ZA-Other non-ferrous metal production
4805,717,P- and other fertiliser,BG,process,ton,BG-P- and other fertiliser
4806,5981,"Lead, zinc and tin production",KR,process,ton,"KR-Lead, zinc and tin production"
4807,2814,Mining of nickel ores and concentrates,IN,process,ton,IN-Mining of nickel ores and concentrates
4808,5358,Distribution of gaseous fuels through mains,RU,process,Meuro,RU-Distribution of gaseous fuels through mains
4809,6170,Production of electricity by solar photovoltaic,ES,process,TJ,ES-Production of electricity by solar photovoltaic
4810,1953,"Composting of food waste, incl. land application",FI,process,ton,"FI-Composting of food waste, incl. land application"
4811,1527,Pulp,DK,process,ton,DK-Pulp
4812,2419,Sea and coastal water transport,GR,process,Meuro,GR-Sea and coastal water transport
4813,1725,Manufacture of machinery and equipment n.e.c.,EE,process,ton,EE-Manufacture of machinery and equipment n.e.c. (29)
4814,4009,Precious metals production,LU,process,ton,LU-Precious metals production
4815,3981,Manufacture of tobacco products,LU,process,ton,LU-Manufacture of tobacco products (16)
4816,4502,Re-processing of secondary preciuos metals into new preciuos metals,NL,process,ton,NL-Re-processing of secondary preciuos metals into new preciuos metals
4817,6838,Re-processing of secondary construction material into aggregates,GB,process,ton,GB-Re-processing of secondary construction material into aggregates
4818,6542,"Biogasification of food waste, incl. land application",CH,process,ton,"CH-Biogasification of food waste, incl. land application"
4819,3245,"Insurance and pension funding, except compulsory social security",IE,process,Meuro,"IE-Insurance and pension funding, except compulsory social security (66)"
4820,1788,"Biogasification of sewage slugde, incl. land application",EE,process,ton,"EE-Biogasification of sewage slugde, incl. land application"
4821,504,Animal products nec,BR,process,ton,BR-Animal products nec
4822,4152,Re-processing of secondary paper into new pulp,MT,process,ton,MT-Re-processing of secondary paper into new pulp
4823,6039,Other business activities,KR,process,Meuro,KR-Other business activities (74)
4824,5969,Re-processing of secondary glass into new glass,KR,process,ton,KR-Re-processing of secondary glass into new glass
4825,7078,Mining of nickel ores and concentrates,WA,process,ton,WA-Mining of nickel ores and concentrates
4826,5107,Mining of uranium and thorium ores,RO,process,ton,RO-Mining of uranium and thorium ores (12)
4827,3491,Manufacture of wearing apparel; dressing and dyeing of fur,JP,process,ton,JP-Manufacture of wearing apparel; dressing and dyeing of fur (18)
4828,5391,Incineration of waste: Textiles,RU,process,ton,RU-Incineration of waste: Textiles
